ID,Age,Gender,Country,Favorite Fruit,Frequency of Consumption,Preferred Form of Fruit
1,32,Male,USA,Apple,Daily,Fresh
2,45,Female,Canada,Banana,2-3 times a week,Smoothie
3,28,Male,UK,Orange,Once a week,Juice
4,50,Female,Australia,Mango,Daily,Fresh
5,19,Female,Germany,Strawberry,4-5 times a week,Salad
6,39,Male,France,Apple,2-3 times a week,Fresh
7,56,Female,USA,Banana,Once a week,Smoothie
8,22,Female,Canada,Orange,3-4 times a week,Juice
9,41,Male,UK,Mango,Daily,Fresh
10,30,Female,Australia,Strawberry,Once a week,Smoothie
11,47,Male,Germany,Apple,Daily,Fresh
12,25,Female,France,Banana,2-3 times a week,Smoothie
13,34,Male,USA,Orange,Once a week,Juice
14,52,Female,Canada,Mango,Daily,Fresh
15,20,Male,UK,Strawberry,4-5 times a week,Salad
16,43,Female,Australia,Apple,Daily,Fresh
17,29,Male,Germany,Banana,Once a week,Smoothie
18,38,Female,France,Orange,2-3 times a week,Juice
19,55,Male,USA,Mango,Daily,Fresh
20,21,Female,Canada,Strawberry,3-4 times a week,Smoothie
21,48,Male,UK,Apple,Once a week,Fresh
22,26,Female,Australia,Banana,4-5 times a week,Smoothie
23,35,Male,Germany,Orange,Daily,Juice
24,51,Female,France,Mango,Once a week,Fresh
25,18,Male,USA,Strawberry,Daily,Smoothie
26,42,Female,Canada,Apple,2-3 times a week,Fresh
27,31,Male,UK,Banana,Once a week,Smoothie
28,46,Female,Australia,Orange,3-4 times a week,Juice
29,23,Male,Germany,Mango,Daily,Fresh
30,40,Female,France,Strawberry,Once a week,Smoothie
31,53,Male,USA,Apple,4-5 times a week,Fresh
32,27,Female,Canada,Banana,Daily,Smoothie
33,36,Male,UK,Orange,2-3 times a week,Juice
34,49,Female,Australia,Mango,Once a week,Fresh
35,24,Male,Germany,Strawberry,Daily,Salad
36,37,Female,France,Apple,Once a week,Fresh
37,54,Male,USA,Banana,3-4 times a week,Smoothie
38,33,Female,Canada,Orange,Once a week,Juice
39,50,Male,UK,Mango,Daily,Fresh
40,28,Female,Australia,Strawberry,4-5 times a week,Smoothie
41,19,Male,Germany,Apple,Once a week,Fresh
42,39,Female,France,Banana,Daily,Smoothie
43,56,Male,USA,Orange,2-3 times a week,Juice
44,22,Female,Canada,Mango,Once a week,Fresh
45,41,Male,UK,Strawberry,Daily,Smoothie
46,30,Female,Australia,Apple,3-4 times a week,Fresh
47,47,Male,Germany,Banana,Once a week,Smoothie
48,25,Female,France,Orange,Daily,Juice
49,34,Male,USA,Mango,Once a week,Fresh
50,52,Female,Canada,Strawberry,4-5 times a week,Smoothie
51,20,Male,UK,Apple,Daily,Fresh
52,43,Female,Australia,Banana,2-3 times a week,Smoothie
53,29,Male,Germany,Orange,Once a week,Juice
54,38,Female,France,Mango,Daily,Fresh
55,55,Male,USA,Strawberry,3-4 times a week,Smoothie
56,21,Female,Canada,Apple,Once a week,Fresh
57,48,Male,UK,Banana,Daily,Smoothie
58,26,Female,Australia,Orange,2-3 times a week,Juice
59,35,Male,Germany,Mango,Once a week,Fresh
60,51,Female,France,Strawberry,Daily,Smoothie
61,18,Male,USA,Apple,4-5 times a week,Fresh
62,42,Female,Canada,Banana,Daily,Smoothie
63,31,Male,UK,Orange,Once a week,Juice
64,46,Female,Australia,Mango,3-4 times a week,Fresh
65,23,Male,Germany,Strawberry,Daily,Smoothie
66,40,Female,France,Apple,Once a week,Fresh
67,53,Male,USA,Banana,2-3 times a week,Smoothie
68,27,Female,Canada,Orange,Once a week,Juice
69,36,Male,UK,Mango,Daily,Fresh
70,49,Female,Australia,Strawberry,4-5 times a week,Smoothie
71,24,Male,Germany,Apple,Once a week,Fresh
72,37,Female,France,Banana,3-4 times a week,Smoothie
73,54,Male,USA,Orange,Daily,Juice
74,33,Female,Canada,Mango,Once a week,Fresh
75,50,Male,UK,Strawberry,2-3 times a week,Smoothie
76,28,Female,Australia,Apple,Once a week,Fresh
77,19,Male,Germany,Banana,Daily,Smoothie
78,39,Female,France,Orange,4-5 times a week,Juice
79,56,Male,USA,Mango,Once a week,Fresh
80,22,Female,Canada,Strawberry,Daily,Smoothie
81,48,Male,UK,Apple,2-3 times a week,Fresh
82,26,Female,Australia,Banana,Once a week,Smoothie
83,35,Male,Germany,Orange,3-4 times a week,Juice
84,51,Female,France,Mango,Daily,Fresh
85,18,Male,USA,Strawberry,Once a week,Smoothie
86,42,Female,Canada,Apple,4-5 times a week,Fresh
87,31,Male,UK,Banana,Once a week,Smoothie
88,46,Female,Australia,Orange,2-3 times a week,Juice
89,23,Male,Germany,Mango,Once a week,Fresh
90,40,Female,France,Strawberry,Daily,Smoothie
91,53,Male,USA,Apple,3-4 times a week,Fresh
92,27,Female,Canada,Banana,Once a week,Fresh
93,36,Male,UK,Orange,Daily,Juice
94,49,Female,Australia,Mango,4-5 times a week,Fresh
95,24,Male,Germany,Strawberry,Once a week,Smoothie
96,37,Female,France,Apple,2-3 times a week,Fresh
97,54,Male,USA,Orange,Once a week,Juice
98,33,Female,Canada,Mango,Daily,Fresh
99,50,Male,UK,Strawberry,3-4 times a week,Smoothie
100,28,Female,Australia,Apple,Once a week,Fresh
101,19,Male,Germany,Banana,4-5 times a week,Smoothie
102,39,Female,France,Orange,Once a week,Juice
103,56,Male,USA,Mango,Daily,Fresh
104,22,Female,Canada,Strawberry,2-3 times a week,Smoothie
105,48,Male,UK,Apple,Once a week,Fresh
106,26,Female,Australia,Banana,Daily,Smoothie
107,35,Male,Germany,Orange,4-5 times a week,Juice
108,51,Female,France,Mango,Once a week,Fresh
109,18,Male,USA,Strawberry,Daily,Fresh
110,42,Female,Canada,Apple,Once a week,Smoothie
111,31,Male,UK,Banana,3-4 times a week,Fresh
112,46,Female,Australia,Orange,Once a week,Juice
113,23,Male,Germany,Mango,2-3 times a week,Fresh
114,40,Female,France,Strawberry,Daily,Smoothie
115,53,Male,USA,Apple,Once a week,Fresh
116,27,Female,Canada,Banana,Daily,Smoothie
117,36,Male,UK,Orange,2-3 times a week,Juice
118,49,Female,Australia,Mango,Once a week,Fresh
119,24,Male,Germany,Strawberry,Daily,Smoothie
120,37,Female,France,Apple,4-5 times a week,Fresh
121,54,Male,USA,Orange,Once a week,Juice
122,33,Female,Canada,Mango,Daily,Fresh
123,50,Male,UK,Strawberry,Once a week,Smoothie
124,28,Female,Australia,Apple,2-3 times a week,Fresh
125,19,Male,Germany,Banana,Once a week,Smoothie
126,39,Female,France,Orange,3-4 times a week,Juice
127,56,Male,USA,Mango,Daily,Fresh
128,22,Female,Canada,Strawberry,Once a week,Smoothie
129,48,Male,UK,Apple,4-5 times a week,Fresh
130,26,Female,Australia,Banana,Once a week,Smoothie
131,35,Male,Germany,Orange,Daily,Juice
132,51,Female,France,Mango,2-3 times a week,Fresh
133,18,Male,USA,Strawberry,Once a week,Fresh
134,42,Female,Canada,Apple,Daily,Fresh
135,31,Male,UK,Banana,Once a week,Smoothie
136,46,Female,Australia,Orange,3-4 times a week,Juice
137,23,Male,Germany,Mango,Daily,Fresh
138,40,Female,France,Strawberry,Once a week,Smoothie
139,53,Male,USA,Apple,2-3 times a week,Fresh
140,27,Female,Canada,Banana,Once a week,Smoothie
141,36,Male,UK,Orange,4-5 times a week,Juice
142,49,Female,Australia,Mango,Once a week,Fresh
143,24,Male,Germany,Strawberry,Daily,Smoothie
144,37,Female,France,Apple,Once a week,Fresh
145,54,Male,USA,Orange,3-4 times a week,Juice
146,33,Female,Canada,Mango,Daily,Fresh
147,50,Male,UK,Strawberry,Once a week,Smoothie
148,28,Female,Australia,Apple,2-3 times a week,Fresh
149,19,Male,Germany,Banana,Once a week,Smoothie
150,39,Female,France,Orange,Daily,Juice
151,56,Male,USA,Mango,Once a week,Fresh
152,22,Female,Canada,Strawberry,3-4 times a week,Smoothie
153,48,Male,UK,Apple,Daily,Fresh
154,26,Female,Australia,Banana,Once a week,Smoothie
155,35,Male,Germany,Orange,Once a week,Juice
156,51,Female,France,Mango,2-3 times a week,Fresh
157,18,Male,USA,Strawberry,Once a week,Smoothie
158,42,Female,Canada,Apple,4-5 times a week,Fresh
159,31,Male,UK,Banana,Daily,Smoothie
160,46,Female,Australia,Orange,Once a week,Juice
161,23,Male,Germany,Mango,2-3 times a week,Fresh
162,40,Female,France,Strawberry,Daily,Smoothie
163,53,Male,USA,Apple,Once a week,Fresh
164,27,Female,Canada,Banana,3-4 times a week,Smoothie
165,36,Male,UK,Orange,Daily,Juice
166,49,Female,Australia,Mango,Once a week,Fresh
167,24,Male,Germany,Strawberry,4-5 times a week,Smoothie
168,37,Female,France,Apple,Once a week,Fresh
169,54,Male,USA,Orange,2-3 times a week,Juice
170,33,Female,Canada,Mango,Once a week,Fresh
171,50,Male,UK,Strawberry,Daily,Smoothie
172,28,Female,Australia,Apple,Once a week,Fresh
173,19,Male,Germany,Banana,3-4 times a week,Smoothie
174,39,Female,France,Orange,Once a week,Juice
175,56,Male,USA,Mango,Daily,Fresh
176,22,Female,Canada,Strawberry,Once a week,Smoothie
177,48,Male,UK,Apple,2-3 times a week,Fresh
178,26,Female,Australia,Banana,Once a week,Smoothie
179,35,Male,Germany,Orange,3-4 times a week,Juice
180,51,Female,France,Mango,Daily,Fresh
181,18,Male,USA,Strawberry,Once a week,Smoothie
182,42,Female,Canada,Apple,3-4 times a week,Fresh
183,31,Male,UK,Banana,Once a week,Smoothie
184,46,Female,Australia,Orange,2-3 times a week,Juice
185,23,Male,Germany,Mango,Once a week,Fresh
186,40,Female,France,Strawberry,Daily,Smoothie
187,53,Male,USA,Apple,3-4 times a week,Fresh
188,27,Female,Canada,Banana,Once a week,Fresh
189,36,Male,UK,Orange,4-5 times a week,Juice
190,49,Female,Australia,Mango,Once a week,Fresh
191,24,Male,Germany,Strawberry,Daily,Smoothie
192,37,Female,France,Apple,Once a week,Fresh
193,54,Male,USA,Orange,Once a week,Juice
194,33,Female,Canada,Mango,Daily,Fresh
195,50,Male,UK,Strawberry,Once a week,Smoothie
196,28,Female,Australia,Apple,2-3 times a week,Fresh
197,19,Male,Germany,Banana,Once a week,Smoothie
198,39,Female,France,Orange,3-4 times a week,Juice
199,56,Male,USA,Mango,Daily,Fresh
200,22,Female,Canada,Strawberry,Once a week,Smoothie
201,48,Male,UK,Apple,4-5 times a week,Fresh
202,26,Female,Australia,Banana,Once a week,Smoothie
203,35,Male,Germany,Orange,3-4 times a week,Juice
204,51,Female,France,Mango,Daily,Fresh
205,18,Male,USA,Strawberry,Once a week,Smoothie
206,42,Female,Canada,Apple,4-5 times a week,Fresh
207,31,Male,UK,Banana,3-4 times a week,Smoothie
208,46,Female,Australia,Orange,Once a week,Juice
209,23,Male,Germany,Mango,2-3 times a week,Fresh
210,40,Female,France,Strawberry,Daily,Smoothie
211,53,Male,USA,Apple,Once a week,Fresh
212,27,Female,Canada,Banana,Once a week,Smoothie
213,36,Male,UK,Orange,4-5 times a week,Juice
214,49,Female,Australia,Mango,Once a week,Fresh
215,24,Male,Germany,Strawberry,Daily,Smoothie
216,37,Female,France,Apple,4-5 times a week,Fresh
217,54,Male,USA,Orange,Once a week,Juice
218,33,Female,Canada,Mango,Daily,Fresh
219,50,Male,UK,Strawberry,Once a week,Smoothie
220,28,Female,Australia,Apple,2-3 times a week,Fresh
221,19,Male,Germany,Banana,Once a week,Smoothie
222,39,Female,France,Orange,Daily,Juice
223,56,Male,USA,Mango,Once a week,Fresh
224,22,Female,Canada,Strawberry,3-4 times a week,Smoothie
225,48,Male,UK,Apple,Daily,Fresh
226,26,Female,Australia,Banana,Once a week,Smoothie
227,35,Male,Germany,Orange,3-4 times a week,Juice
228,51,Female,France,Mango,2-3 times a week,Fresh
229,18,Male,USA,Strawberry,Once a week,Smoothie
230,42,Female,Canada,Apple,4-5 times a week,Fresh
231,31,Male,UK,Banana,Daily,Smoothie
232,46,Female,Australia,Orange,Once a week,Juice
233,23,Male,Germany,Mango,2-3 times a week,Fresh
234,40,Female,France,Strawberry,Daily,Smoothie
235,53,Male,USA,Apple,Once a week,Fresh
236,27,Female,Canada,Banana,3-4 times a week,Smoothie
237,36,Male,UK,Orange,Daily,Juice
238,49,Female,Australia,Mango,Once a week,Fresh
239,24,Male,Germany,Strawberry,Daily,Smoothie
240,37,Female,France,Apple,Once a week,Fresh
241,54,Male,USA,Orange,3-4 times a week,Juice
242,33,Female,Canada,Mango,Once a week,Fresh
243,50,Male,UK,Strawberry,Daily,Smoothie
244,28,Female,Australia,Apple,Once a week,Fresh
245,19,Male,Germany,Banana,3-4 times a week,Smoothie
246,39,Female,France,Orange,Once a week,Juice
247,56,Male,USA,Mango,Daily,Fresh
248,22,Female,Canada,Strawberry,Once a week,Smoothie
249,48,Male,UK,Apple,2-3 times a week,Fresh
250,26,Female,Australia,Banana,Once a week,Smoothie
251,35,Male,Germany,Orange,3-4 times a week,Juice
252,51,Female,France,Mango,Daily,Fresh
253,18,Male,USA,Strawberry,Once a week,Smoothie
254,42,Female,Canada,Apple,4-5 times a week,Fresh
255,31,Male,UK,Banana,3-4 times a week,Smoothie
256,46,Female,Australia,Orange,Once a week,Juice
257,23,Male,Germany,Mango,2-3 times a week,Fresh
258,40,Female,France,Strawberry,Daily,Smoothie
259,53,Male,USA,Apple,Once a week,Fresh
260,27,Female,Canada,Banana,Once a week,Smoothie
261,36,Male,UK,Orange,4-5 times a week,Juice
262,49,Female,Australia,Mango,Once a week,Fresh
263,24,Male,Germany,Strawberry,Daily,Smoothie
264,37,Female,France,Apple,4-5 times a week,Fresh
265,54,Male,USA,Orange,Once a week,Juice
266,33,Female,Canada,Mango,Daily,Fresh
267,50,Male,UK,Strawberry,Once a week,Smoothie
268,28,Female,Australia,Apple,2-3 times a week,Fresh
269,19,Male,Germany,Banana,Once a week,Smoothie
270,39,Female,France,Orange,3-4 times a week,Juice
271,56,Male,USA,Mango,Daily,Fresh
272,22,Female,Canada,Strawberry,Once a week,Smoothie
273,48,Male,UK,Apple,4-5 times a week,Fresh
274,26,Female,Australia,Banana,Once a week,Smoothie
275,35,Male,Germany,Orange,3-4 times a week,Juice
276,51,Female,France,Mango,Daily,Fresh
277,18,Male,USA,Strawberry,Once a week,Smoothie
278,42,Female,Canada,Apple,4-5 times a week,Fresh
279,31,Male,UK,Banana,3-4 times a week,Smoothie
280,46,Female,Australia,Orange,Once a week,Juice
281,23,Male,Germany,Mango,2-3 times a week,Fresh
282,40,Female,France,Strawberry,Daily,Smoothie
283,53,Male,USA,Apple,Once a week,Fresh
284,27,Female,Canada,Banana,Once a week,Smoothie
285,36,Male,UK,Orange,4-5 times a week,Juice
286,49,Female,Australia,Mango,Once a week,Fresh
287,24,Male,Germany,Strawberry,Daily,Smoothie
288,37,Female,France,Apple,4-5 times a week,Fresh
289,54,Male,USA,Orange,Once a week,Juice
290,33,Female,Canada,Mango,Daily,Fresh
291,50,Male,UK,Strawberry,Once a week,Smoothie
292,28,Female,Australia,Apple,2-3 times a week,Fresh
293,19,Male,Germany,Banana,Once a week,Smoothie
294,39,Female,France,Orange,3-4 times a week,Juice
295,56,Male,USA,Mango,Daily,Fresh
296,22,Female,Canada,Strawberry,Once a week,Smoothie
297,48,Male,UK,Apple,4-5 times a week,Fresh
298,26,Female,Australia,Banana,Once a week,Smoothie
299,35,Male,Germany,Orange,3-4 times a week,Juice
300,51,Female,France,Mango,Daily,Fresh
301,18,Male,USA,Strawberry,Once a week,Smoothie
302,42,Female,Canada,Apple,4-5 times a week,Fresh
303,31,Male,UK,Banana,3-4 times a week,Smoothie
304,46,Female,Australia,Orange,Once a week,Juice
305,23,Male,Germany,Mango,2-3 times a week,Fresh
306,40,Female,France,Strawberry,Daily,Smoothie
307,53,Male,USA,Apple,Once a week,Fresh
308,27,Female,Canada,Banana,Once a week,Smoothie
309,36,Male,UK,Orange,4-5 times a week,Juice
310,49,Female,Australia,Mango,Once a week,Fresh
311,24,Male,Germany,Strawberry,Daily,Smoothie
312,37,Female,France,Apple,4-5 times a week,Fresh
313,54,Male,USA,Orange,Once a week,Juice
314,33,Female,Canada,Mango,Daily,Fresh
315,50,Male,UK,Strawberry,Once a week,Smoothie
316,28,Female,Australia,Apple,2-3 times a week,Fresh
317,19,Male,Germany,Banana,Once a week,Smoothie
318,39,Female,France,Orange,3-4 times a week,Juice
319,56,Male,USA,Mango,Daily,Fresh
320,22,Female,Canada,Strawberry,Once a week,Smoothie
321,48,Male,UK,Apple,4-5 times a week,Fresh
322,26,Female,Australia,Banana,Once a week,Smoothie
323,35,Male,Germany,Orange,3-4 times a week,Juice
324,51,Female,France,Mango,Daily,Fresh
325,18,Male,USA,Strawberry,Once a week,Smoothie
326,42,Female,Canada,Apple,4-5 times a week,Fresh
327,31,Male,UK,Banana,3-4 times a week,Smoothie
328,46,Female,Australia,Orange,Once a week,Juice
329,23,Male,Germany,Mango,2-3 times a week,Fresh
330,40,Female,France,Strawberry,Daily,Smoothie
331,53,Male,USA,Apple,Once a week,Fresh
332,27,Female,Canada,Banana,Once a week,Smoothie
333,36,Male,UK,Orange,4-5 times a week,Juice
334,49,Female,Australia,Mango,Once a week,Fresh
335,24,Male,Germany,Strawberry,Daily,Smoothie
336,37,Female,France,Apple,4-5 times a week,Fresh
337,54,Male,USA,Orange,Once a week,Juice
338,33,Female,Canada,Mango,Daily,Fresh
339,50,Male,UK,Strawberry,Once a week,Smoothie
340,28,Female,Australia,Apple,2-3 times a week,Fresh
341,19,Male,Germany,Banana,Once a week,Smoothie
342,39,Female,France,Orange,3-4 times a week,Juice
343,56,Male,USA,Mango,Daily,Fresh
344,22,Female,Canada,Strawberry,Once a week,Smoothie
345,48,Male,UK,Apple,4-5 times a week,Fresh
346,26,Female,Australia,Banana,Once a week,Smoothie
347,35,Male,Germany,Orange,3-4 times a week,Juice
348,51,Female,France,Mango,Daily,Fresh
349,18,Male,USA,Strawberry,Once a week,Smoothie
350,42,Female,Canada,Apple,4-5 times a week,Fresh
351,31,Male,UK,Banana,3-4 times a week,Smoothie
352,46,Female,Australia,Orange,Once a week,Juice
353,23,Male,Germany,Mango,2-3 times a week,Fresh
354,40,Female,France,Strawberry,Daily,Smoothie
355,53,Male,USA,Apple,Once a week,Fresh
356,27,Female,Canada,Banana,Once a week,Smoothie
357,36,Male,UK,Orange,4-5 times a week,Juice
358,49,Female,Australia,Mango,Once a week,Fresh
359,24,Male,Germany,Strawberry,Daily,Smoothie
360,37,Female,France,Apple,4-5 times a week,Fresh
361,54,Male,USA,Orange,Once a week,Juice
362,33,Female,Canada,Mango,Daily,Fresh
363,50,Male,UK,Strawberry,Once a week,Smoothie
364,28,Female,Australia,Apple,2-3 times a week,Fresh
365,19,Male,Germany,Banana,Once a week,Smoothie
366,39,Female,France,Orange,3-4 times a week,Juice
367,56,Male,USA,Mango,Daily,Fresh
368,22,Female,Canada,Strawberry,Once a week,Smoothie
369,48,Male,UK,Apple,4-5 times a week,Fresh
370,26,Female,Australia,Banana,Once a week,Smoothie
371,35,Male,Germany,Orange,3-4 times a week,Juice
372,51,Female,France,Mango,Daily,Fresh
373,18,Male,USA,Strawberry,Once a week,Smoothie
374,42,Female,Canada,Apple,4-5 times a week,Fresh
375,31,Male,UK,Banana,3-4 times a week,Smoothie
376,46,Female,Australia,Orange,Once a week,Juice
377,23,Male,Germany,Mango,2-3 times a week,Fresh
378,40,Female,France,Strawberry,Daily,Smoothie
379,53,Male,USA,Apple,Once a week,Fresh
380,27,Female,Canada,Banana,Once a week,Smoothie
381,36,Male,UK,Orange,4-5 times a week,Juice
382,49,Female,Australia,Mango,Once a week,Fresh
383,24,Male,Germany,Strawberry,Daily,Smoothie
384,37,Female,France,Apple,4-5 times a week,Fresh
385,54,Male,USA,Orange,Once a week,Juice
386,33,Female,Canada,Mango,Daily,Fresh
387,50,Male,UK,Strawberry,Once a week,Smoothie
388,28,Female,Australia,Apple,2-3 times a week,Fresh
389,19,Male,Germany,Banana,Once a week,Smoothie
390,39,Female,France,Orange,3-4 times a week,Juice
391,56,Male,USA,Mango,Daily,Fresh
392,22,Female,Canada,Strawberry,Once a week,Smoothie
393,48,Male,UK,Apple,4-5 times a week,Fresh
394,26,Female,Australia,Banana,Once a week,Smoothie
395,35,Male,Germany,Orange,3-4 times a week,Juice
396,51,Female,France,Mango,Daily,Fresh
397,18,Male,USA,Strawberry,Once a week,Smoothie
398,42,Female,Canada,Apple,4-5 times a week,Fresh
399,31,Male,UK,Banana,3-4 times a week,Smoothie
400,46,Female,Australia,Orange,Once a week,Juice
401,23,Male,Germany,Mango,2-3 times a week,Fresh
402,40,Female,France,Strawberry,Daily,Smoothie
403,53,Male,USA,Apple,Once a week,Fresh
404,27,Female,Canada,Banana,Once a week,Smoothie
405,36,Male,UK,Orange,4-5 times a week,Juice
406,49,Female,Australia,Mango,Once a week,Fresh
407,24,Male,Germany,Strawberry,Daily,Smoothie
408,37,Female,France,Apple,4-5 times a week,Fresh
409,54,Male,USA,Orange,Once a week,Juice
410,33,Female,Canada,Mango,Daily,Fresh
411,50,Male,UK,Strawberry,Once a week,Smoothie
412,28,Female,Australia,Apple,2-3 times a week,Fresh
413,19,Male,Germany,Banana,Once a week,Smoothie
414,39,Female,France,Orange,3-4 times a week,Juice
415,56,Male,USA,Mango,Daily,Fresh
416,22,Female,Canada,Strawberry,Once a week,Smoothie
417,48,Male,UK,Apple,4-5 times a week,Fresh
418,26,Female,Australia,Banana,Once a week,Smoothie
419,35,Male,Germany,Orange,3-4 times a week,Juice
420,51,Female,France,Mango,Daily,Fresh
421,18,Male,USA,Strawberry,Once a week,Smoothie
422,42,Female,Canada,Apple,4-5 times a week,Fresh
423,31,Male,UK,Banana,3-4 times a week,Smoothie
424,46,Female,Australia,Orange,Once a week,Juice
425,23,Male,Germany,Mango,2-3 times a week,Fresh
426,40,Female,France,Strawberry,Daily,Smoothie
427,53,Male,USA,Apple,Once a week,Fresh
428,27,Female,Canada,Banana,Once a week,Smoothie
429,36,Male,UK,Orange,4-5 times a week,Juice
430,49,Female,Australia,Mango,Once a week,Fresh
431,24,Male,Germany,Strawberry,Daily,Smoothie
432,37,Female,France,Apple,4-5 times a week,Fresh
433,54,Male,USA,Orange,Once a week,Juice
434,33,Female,Canada,Mango,Daily,Fresh
435,50,Male,UK,Strawberry,Once a week,Smoothie
436,28,Female,Australia,Apple,2-3 times a week,Fresh
437,19,Male,Germany,Banana,Once a week,Smoothie
438,39,Female,France,Orange,3-4 times a week,Juice
439,56,Male,USA,Mango,Daily,Fresh
440,22,Female,Canada,Strawberry,Once a week,Smoothie
441,48,Male,UK,Apple,4-5 times a week,Fresh
442,26,Female,Australia,Banana,Once a week,Smoothie
443,35,Male,Germany,Orange,3-4 times a week,Juice
444,51,Female,France,Mango,Daily,Fresh
445,18,Male,USA,Strawberry,Once a week,Smoothie
446,42,Female,Canada,Apple,4-5 times a week,Fresh
447,31,Male,UK,Banana,3-4 times a week,Smoothie
448,46,Female,Australia,Orange,Once a week,Juice
449,23,Male,Germany,Mango,2-3 times a week,Fresh
450,40,Female,France,Strawberry,Daily,Smoothie
451,53,Male,USA,Apple,Once a week,Fresh
452,27,Female,Canada,Banana,Once a week,Smoothie
453,36,Male,UK,Orange,4-5 times a week,Juice
454,49,Female,Australia,Mango,Once a week,Fresh
455,24,Male,Germany,Strawberry,Daily,Smoothie
456,37,Female,France,Apple,4-5 times a week,Fresh
457,54,Male,USA,Orange,Once a week,Juice
458,33,Female,Canada,Mango,Daily,Fresh
459,50,Male,UK,Strawberry,Once a week,Smoothie
460,28,Female,Australia,Apple,2-3 times a week,Fresh
461,19,Male,Germany,Banana,Once a week,Smoothie
462,39,Female,France,Orange,3-4 times a week,Juice
463,56,Male,USA,Mango,Daily,Fresh
464,22,Female,Canada,Strawberry,Once a week,Smoothie
465,48,Male,UK,Apple,4-5 times a week,Fresh
466,26,Female,Australia,Banana,Once a week,Smoothie
467,35,Male,Germany,Orange,3-4 times a week,Juice
468,51,Female,France,Mango,Daily,Fresh
469,18,Male,USA,Strawberry,Once a week,Smoothie
470,42,Female,Canada,Apple,4-5 times a week,Fresh
471,31,Male,UK,Banana,3-4 times a week,Smoothie
472,46,Female,Australia,Orange,Once a week,Juice
473,23,Male,Germany,Mango,2-3 times a week,Fresh
474,40,Female,France,Strawberry,Daily,Smoothie
475,53,Male,USA,Apple,Once a week,Fresh
476,27,Female,Canada,Banana,Once a week,Smoothie
477,36,Male,UK,Orange,4-5 times a week,Juice
478,49,Female,Australia,Mango,Once a week,Fresh
479,24,Male,Germany,Strawberry,Daily,Smoothie
480,37,Female,France,Apple,4-5 times a week,Fresh
481,54,Male,USA,Orange,Once a week,Juice
482,33,Female,Canada,Mango,Daily,Fresh
483,50,Male,UK,Strawberry,Once a week,Smoothie
484,28,Female,Australia,Apple,2-3 times a week,Fresh
