ID,Age,Gender,Country,Favorite Fruit,Frequency of Consumption,Preferred Form of Fruit
485,19,Male,Germany,Banana,Once a week,Smoothie
486,39,Female,France,Orange,3-4 times a week,Juice
487,56,Male,USA,Mango,Daily,Fresh
488,22,Female,Canada,Strawberry,Once a week,Smoothie
489,48,Male,UK,Apple,4-5 times a week,Fresh
490,26,Female,Australia,Banana,Once a week,Smoothie
491,35,Male,Germany,Orange,3-4 times a week,Juice
492,51,Female,France,Mango,Daily,Fresh
493,18,Male,USA,Strawberry,Once a week,Smoothie
494,42,Female,Canada,Apple,4-5 times a week,Fresh
495,31,Male,UK,Banana,3-4 times a week,Smoothie
496,46,Female,Australia,Orange,Once a week,Juice
497,23,Male,Germany,Mango,2-3 times a week,Fresh
498,40,Female,France,Strawberry,Daily,Smoothie
499,53,Male,USA,Apple,Once a week,Fresh
500,27,Female,Canada,Banana,Once a week,Smoothie
501,36,Male,UK,Orange,4-5 times a week,Juice
502,49,Female,Australia,Mango,Once a week,Fresh
503,24,Male,Germany,Strawberry,Daily,Smoothie
504,37,Female,France,Apple,4-5 times a week,Fresh
505,54,Male,USA,Orange,Once a week,Juice
506,33,Female,Canada,Mango,Daily,Fresh
507,50,Male,UK,Strawberry,Once a week,Smoothie
508,28,Female,Australia,Apple,2-3 times a week,Fresh
509,19,Male,Germany,Banana,Once a week,Smoothie
510,39,Female,France,Orange,3-4 times a week,Juice
511,56,Male,USA,Mango,Daily,Fresh
512,22,Female,Canada,Strawberry,Once a week,Smoothie
513,48,Male,UK,Apple,4-5 times a week,Fresh
514,26,Female,Australia,Banana,Once a week,Smoothie
515,35,Male,Germany,Orange,3-4 times a week,Juice
516,51,Female,France,Mango,Daily,Fresh
517,18,Male,USA,Strawberry,Once a week,Smoothie
518,42,Female,Canada,Apple,4-5 times a week,Fresh
519,31,Male,UK,Banana,3-4 times a week,Smoothie
520,46,Female,Australia,Orange,Once a week,Juice
521,23,Male,Germany,Mango,2-3 times a week,Fresh
522,40,Female,France,Strawberry,Daily,Smoothie
523,53,Male,USA,Apple,Once a week,Fresh
524,27,Female,Canada,Banana,Once a week,Smoothie
525,36,Male,UK,Orange,4-5 times a week,Juice
526,49,Female,Australia,Mango,Once a week,Fresh
527,24,Male,Germany,Strawberry,Daily,Smoothie
528,37,Female,France,Apple,4-5 times a week,Fresh
529,54,Male,USA,Orange,Once a week,Juice
530,33,Female,Canada,Mango,Daily,Fresh
531,50,Male,UK,Strawberry,Once a week,Smoothie
532,28,Female,Australia,Apple,2-3 times a week,Fresh
533,19,Male,Germany,Banana,Once a week,Smoothie
534,39,Female,France,Orange,3-4 times a week,Juice
535,56,Male,USA,Mango,Daily,Fresh
536,22,Female,Canada,Strawberry,Once a week,Smoothie
537,48,Male,UK,Apple,4-5 times a week,Fresh
538,26,Female,Australia,Banana,Once a week,Smoothie
539,35,Male,Germany,Orange,3-4 times a week,Juice
540,51,Female,France,Mango,Daily,Fresh
541,18,Male,USA,Strawberry,Once a week,Smoothie
542,42,Female,Canada,Apple,4-5 times a week,Fresh
543,31,Male,UK,Banana,3-4 times a week,Smoothie
544,46,Female,Australia,Orange,Once a week,Juice
545,23,Male,Germany,Mango,2-3 times a week,Fresh
546,40,Female,France,Strawberry,Daily,Smoothie
547,53,Male,USA,Apple,Once a week,Fresh
548,27,Female,Canada,Banana,Once a week,Smoothie
549,36,Male,UK,Orange,4-5 times a week,Juice
550,49,Female,Australia,Mango,Once a week,Fresh
551,24,Male,Germany,Strawberry,Daily,Smoothie
552,37,Female,France,Apple,4-5 times a week,Fresh
553,54,Male,USA,Orange,Once a week,Juice
554,33,Female,Canada,Mango,Daily,Fresh
555,50,Male,UK,Strawberry,Once a week,Smoothie
556,28,Female,Australia,Apple,2-3 times a week,Fresh
557,19,Male,Germany,Banana,Once a week,Smoothie
558,39,Female,France,Orange,3-4 times a week,Juice
559,56,Male,USA,Mango,Daily,Fresh
560,22,Female,Canada,Strawberry,Once a week,Smoothie
561,48,Male,UK,Apple,4-5 times a week,Fresh
562,26,Female,Australia,Banana,Once a week,Smoothie
563,35,Male,Germany,Orange,3-4 times a week,Juice
564,51,Female,France,Mango,Daily,Fresh
565,18,Male,USA,Strawberry,Once a week,Smoothie
566,42,Female,Canada,Apple,4-5 times a week,Fresh
567,31,Male,UK,Banana,3-4 times a week,Smoothie
568,46,Female,Australia,Orange,Once a week,Juice
569,23,Male,Germany,Mango,2-3 times a week,Fresh
570,40,Female,France,Strawberry,Daily,Smoothie
571,53,Male,USA,Apple,Once a week,Fresh
572,27,Female,Canada,Banana,Once a week,Smoothie
573,36,Male,UK,Orange,4-5 times a week,Juice
574,49,Female,Australia,Mango,Once a week,Fresh
575,24,Male,Germany,Strawberry,Daily,Smoothie
576,37,Female,France,Apple,4-5 times a week,Fresh
577,54,Male,USA,Orange,Once a week,Juice
578,33,Female,Canada,Mango,Daily,Fresh
579,50,Male,UK,Strawberry,Once a week,Smoothie
580,28,Female,Australia,Apple,2-3 times a week,Fresh
581,19,Male,Germany,Banana,Once a week,Smoothie
582,39,Female,France,Orange,3-4 times a week,Juice
583,56,Male,USA,Mango,Daily,Fresh
584,22,Female,Canada,Strawberry,Once a week,Smoothie
585,48,Male,UK,Apple,4-5 times a week,Fresh
586,26,Female,Australia,Banana,Once a week,Smoothie
587,35,Male,Germany,Orange,3-4 times a week,Juice
588,51,Female,France,Mango,Daily,Fresh
589,18,Male,USA,Strawberry,Once a week,Smoothie
590,42,Female,Canada,Apple,4-5 times a week,Fresh
591,31,Male,UK,Banana,3-4 times a week,Smoothie
592,46,Female,Australia,Orange,Once a week,Juice
593,23,Male,Germany,Mango,2-3 times a week,Fresh
594,40,Female,France,Strawberry,Daily,Smoothie
595,53,Male,USA,Apple,Once a week,Fresh
596,27,Female,Canada,Banana,Once a week,Smoothie
597,36,Male,UK,Orange,4-5 times a week,Juice
598,49,Female,Australia,Mango,Once a week,Fresh
599,24,Male,Germany,Strawberry,Daily,Smoothie
600,37,Female,France,Apple,4-5 times a week,Fresh
601,54,Male,USA,Orange,Once a week,Juice
602,33,Female,Canada,Mango,Daily,Fresh
603,50,Male,UK,Strawberry,Once a week,Smoothie
604,28,Female,Australia,Apple,2-3 times a week,Fresh
605,19,Male,Germany,Banana,Once a week,Smoothie
606,39,Female,France,Orange,3-4 times a week,Juice
607,56,Male,USA,Mango,Daily,Fresh
608,22,Female,Canada,Strawberry,Once a week,Smoothie
609,48,Male,UK,Apple,4-5 times a week,Fresh
610,26,Female,Australia,Banana,Once a week,Smoothie
611,35,Male,Germany,Orange,3-4 times a week,Juice
612,51,Female,France,Mango,Daily,Fresh
613,18,Male,USA,Strawberry,Once a week,Smoothie
614,42,Female,Canada,Apple,4-5 times a week,Fresh
615,31,Male,UK,Banana,3-4 times a week,Smoothie
616,46,Female,Australia,Orange,Once a week,Juice
617,23,Male,Germany,Mango,2-3 times a week,Fresh
618,40,Female,France,Strawberry,Daily,Smoothie
619,53,Male,USA,Apple,Once a week,Fresh
620,27,Female,Canada,Banana,Once a week,Smoothie
621,36,Male,UK,Orange,4-5 times a week,Juice
622,49,Female,Australia,Mango,Once a week,Fresh
623,24,Male,Germany,Strawberry,Daily,Smoothie
624,37,Female,France,Apple,4-5 times a week,Fresh
625,54,Male,USA,Orange,Once a week,Juice
626,33,Female,Canada,Mango,Daily,Fresh
627,50,Male,UK,Strawberry,Once a week,Smoothie
628,28,Female,Australia,Apple,2-3 times a week,Fresh
629,19,Male,Germany,Banana,Once a week,Smoothie
630,39,Female,France,Orange,3-4 times a week,Juice
631,56,Male,USA,Mango,Daily,Fresh
632,22,Female,Canada,Strawberry,Once a week,Smoothie
633,48,Male,UK,Apple,4-5 times a week,Fresh
634,26,Female,Australia,Banana,Once a week,Smoothie
635,35,Male,Germany,Orange,3-4 times a week,Juice
636,51,Female,France,Mango,Daily,Fresh
637,18,Male,USA,Strawberry,Once a week,Smoothie
638,42,Female,Canada,Apple,4-5 times a week,Fresh
639,31,Male,UK,Banana,3-4 times a week,Smoothie
640,46,Female,Australia,Orange,Once a week,Juice
641,23,Male,Germany,Mango,2-3 times a week,Fresh
642,40,Female,France,Strawberry,Daily,Smoothie
643,53,Male,USA,Apple,Once a week,Fresh
644,27,Female,Canada,Banana,Once a week,Smoothie
645,36,Male,UK,Orange,4-5 times a week,Juice
646,49,Female,Australia,Mango,Once a week,Fresh
647,24,Male,Germany,Strawberry,Daily,Smoothie
648,37,Female,France,Apple,4-5 times a week,Fresh
649,54,Male,USA,Orange,Once a week,Juice
650,33,Female,Canada,Mango,Daily,Fresh
651,50,Male,UK,Strawberry,Once a week,Smoothie
652,28,Female,Australia,Apple,2-3 times a week,Fresh
653,19,Male,Germany,Banana,Once a week,Smoothie
654,39,Female,France,Orange,3-4 times a week,Juice
655,56,Male,USA,Mango,Daily,Fresh
656,22,Female,Canada,Strawberry,Once a week,Smoothie
657,48,Male,UK,Apple,4-5 times a week,Fresh
658,26,Female,Australia,Banana,Once a week,Smoothie
659,35,Male,Germany,Orange,3-4 times a week,Juice
660,51,Female,France,Mango,Daily,Fresh
661,18,Male,USA,Strawberry,Once a week,Smoothie
662,42,Female,Canada,Apple,4-5 times a week,Fresh
663,31,Male,UK,Banana,3-4 times a week,Smoothie
664,46,Female,Australia,Orange,Once a week,Juice
665,23,Male,Germany,Mango,2-3 times a week,Fresh
666,40,Female,France,Strawberry,Daily,Smoothie
667,53,Male,USA,Apple,Once a week,Fresh
668,27,Female,Canada,Banana,Once a week,Smoothie
669,36,Male,UK,Orange,4-5 times a week,Juice
670,49,Female,Australia,Mango,Once a week,Fresh
671,24,Male,Germany,Strawberry,Daily,Smoothie
672,37,Female,France,Apple,4-5 times a week,Fresh
673,54,Male,USA,Orange,Once a week,Juice
674,33,Female,Canada,Mango,Daily,Fresh
675,50,Male,UK,Strawberry,Once a week,Smoothie
676,28,Female,Australia,Apple,2-3 times a week,Fresh
677,19,Male,Germany,Banana,Once a week,Smoothie
678,39,Female,France,Orange,3-4 times a week,Juice
679,56,Male,USA,Mango,Daily,Fresh
680,22,Female,Canada,Strawberry,Once a week,Smoothie
681,48,Male,UK,Apple,4-5 times a week,Fresh
682,26,Female,Australia,Banana,Once a week,Smoothie
683,35,Male,Germany,Orange,3-4 times a week,Juice
684,51,Female,France,Mango,Daily,Fresh
685,18,Male,USA,Strawberry,Once a week,Smoothie
686,42,Female,Canada,Apple,4-5 times a week,Fresh
687,31,Male,UK,Banana,3-4 times a week,Smoothie
688,46,Female,Australia,Orange,Once a week,Juice
689,23,Male,Germany,Mango,2-3 times a week,Fresh
690,40,Female,France,Strawberry,Daily,Smoothie
691,53,Male,USA,Apple,Once a week,Fresh
692,27,Female,Canada,Banana,Once a week,Smoothie
693,36,Male,UK,Orange,4-5 times a week,Juice
694,49,Female,Australia,Mango,Once a week,Fresh
695,24,Male,Germany,Strawberry,Daily,Smoothie
696,37,Female,France,Apple,4-5 times a week,Fresh
697,54,Male,USA,Orange,Once a week,Juice
698,33,Female,Canada,Mango,Daily,Fresh
699,50,Male,UK,Strawberry,Once a week,Smoothie
700,28,Female,Australia,Apple,2-3 times a week,Fresh
701,19,Male,Germany,Banana,Once a week,Smoothie
702,39,Female,France,Orange,3-4 times a week,Juice
703,56,Male,USA,Mango,Daily,Fresh
704,22,Female,Canada,Strawberry,Once a week,Smoothie
705,48,Male,UK,Apple,4-5 times a week,Fresh
706,26,Female,Australia,Banana,Once a week,Smoothie
707,35,Male,Germany,Orange,3-4 times a week,Juice
708,51,Female,France,Mango,Daily,Fresh
709,18,Male,USA,Strawberry,Once a week,Smoothie
710,42,Female,Canada,Apple,4-5 times a week,Fresh
711,31,Male,UK,Banana,3-4 times a week,Smoothie
712,46,Female,Australia,Orange,Once a week,Juice
713,23,Male,Germany,Mango,2-3 times a week,Fresh
714,40,Female,France,Strawberry,Daily,Smoothie
715,53,Male,USA,Apple,Once a week,Fresh
716,27,Female,Canada,Banana,Once a week,Smoothie
717,36,Male,UK,Orange,4-5 times a week,Juice
718,49,Female,Australia,Mango,Once a week,Fresh
719,24,Male,Germany,Strawberry,Daily,Smoothie
720,37,Female,France,Apple,4-5 times a week,Fresh
721,54,Male,USA,Orange,Once a week,Juice
722,33,Female,Canada,Mango,Daily,Fresh
723,50,Male,UK,Strawberry,Once a week,Smoothie
724,28,Female,Australia,Apple,2-3 times a week,Fresh
725,19,Male,Germany,Banana,Once a week,Smoothie
726,39,Female,France,Orange,3-4 times a week,Juice
727,56,Male,USA,Mango,Daily,Fresh
728,22,Female,Canada,Strawberry,Once a week,Smoothie
729,48,Male,UK,Apple,4-5 times a week,Fresh
730,26,Female,Australia,Banana,Once a week,Smoothie
731,35,Male,Germany,Orange,3-4 times a week,Juice
732,51,Female,France,Mango,Daily,Fresh
733,18,Male,USA,Strawberry,Once a week,Smoothie
734,42,Female,Canada,Apple,4-5 times a week,Fresh
735,31,Male,UK,Banana,3-4 times a week,Smoothie
736,46,Female,Australia,Orange,Once a week,Juice
737,23,Male,Germany,Mango,2-3 times a week,Fresh
738,40,Female,France,Strawberry,Daily,Smoothie
739,53,Male,USA,Apple,Once a week,Fresh
740,27,Female,Canada,Banana,Once a week,Smoothie
741,36,Male,UK,Orange,4-5 times a week,Juice
742,49,Female,Australia,Mango,Once a week,Fresh
743,24,Male,Germany,Strawberry,Daily,Smoothie
744,37,Female,France,Apple,4-5 times a week,Fresh
745,54,Male,USA,Orange,Once a week,Juice
746,33,Female,Canada,Mango,Daily,Fresh
747,50,Male,UK,Strawberry,Once a week,Smoothie
748,28,Female,Australia,Apple,2-3 times a week,Fresh
749,19,Male,Germany,Banana,Once a week,Smoothie
750,39,Female,France,Orange,3-4 times a week,Juice
751,56,Male,USA,Mango,Daily,Fresh
752,22,Female,Canada,Strawberry,Once a week,Smoothie
753,48,Male,UK,Apple,4-5 times a week,Fresh
754,26,Female,Australia,Banana,Once a week,Smoothie
755,35,Male,Germany,Orange,3-4 times a week,Juice
756,51,Female,France,Mango,Daily,Fresh
757,18,Male,USA,Strawberry,Once a week,Smoothie
758,42,Female,Canada,Apple,4-5 times a week,Fresh
759,31,Male,UK,Banana,3-4 times a week,Smoothie
760,46,Female,Australia,Orange,Once a week,Juice
761,23,Male,Germany,Mango,2-3 times a week,Fresh
762,40,Female,France,Strawberry,Daily,Smoothie
763,53,Male,USA,Apple,Once a week,Fresh
764,27,Female,Canada,Banana,Once a week,Smoothie
765,36,Male,UK,Orange,4-5 times a week,Juice
766,49,Female,Australia,Mango,Once a week,Fresh
767,24,Male,Germany,Strawberry,Daily,Smoothie
768,37,Female,France,Apple,4-5 times a week,Fresh
769,54,Male,USA,Orange,Once a week,Juice
770,33,Female,Canada,Mango,Daily,Fresh
771,50,Male,UK,Strawberry,Once a week,Smoothie
772,28,Female,Australia,Apple,2-3 times a week,Fresh
773,19,Male,Germany,Banana,Once a week,Smoothie
774,39,Female,France,Orange,3-4 times a week,Juice
775,56,Male,USA,Mango,Daily,Fresh
776,22,Female,Canada,Strawberry,Once a week,Smoothie
777,48,Male,UK,Apple,4-5 times a week,Fresh
778,26,Female,Australia,Banana,Once a week,Smoothie
779,35,Male,Germany,Orange,3-4 times a week,Juice
780,51,Female,France,Mango,Daily,Fresh
781,18,Male,USA,Strawberry,Once a week,Smoothie
782,42,Female,Canada,Apple,4-5 times a week,Fresh
783,31,Male,UK,Banana,3-4 times a week,Smoothie
784,46,Female,Australia,Orange,Once a week,Juice
785,23,Male,Germany,Mango,2-3 times a week,Fresh
786,40,Female,France,Strawberry,Daily,Smoothie
787,53,Male,USA,Apple,Once a week,Fresh
788,27,Female,Canada,Banana,Once a week,Smoothie
789,36,Male,UK,Orange,4-5 times a week,Juice
790,49,Female,Australia,Mango,Once a week,Fresh
791,24,Male,Germany,Strawberry,Daily,Smoothie
792,37,Female,France,Apple,4-5 times a week,Fresh
793,54,Male,USA,Orange,Once a week,Juice
794,33,Female,Canada,Mango,Daily,Fresh
795,50,Male,UK,Strawberry,Once a week,Smoothie
796,28,Female,Australia,Apple,2-3 times a week,Fresh
797,19,Male,Germany,Banana,Once a week,Smoothie
798,39,Female,France,Orange,3-4 times a week,Juice
799,56,Male,USA,Mango,Daily,Fresh
800,22,Female,Canada,Strawberry,Once a week,Smoothie
801,48,Male,UK,Apple,4-5 times a week,Fresh
802,26,Female,Australia,Banana,Once a week,Smoothie
803,35,Male,Germany,Orange,3-4 times a week,Juice
804,51,Female,France,Mango,Daily,Fresh
805,18,Male,USA,Strawberry,Once a week,Smoothie
806,42,Female,Canada,Apple,4-5 times a week,Fresh
807,31,Male,UK,Banana,3-4 times a week,Smoothie
808,46,Female,Australia,Orange,Once a week,Juice
809,23,Male,Germany,Mango,2-3 times a week,Fresh
810,40,Female,France,Strawberry,Daily,Smoothie
811,53,Male,USA,Apple,Once a week,Fresh
812,27,Female,Canada,Banana,Once a week,Smoothie
813,36,Male,UK,Orange,4-5 times a week,Juice
814,49,Female,Australia,Mango,Once a week,Fresh
815,24,Male,Germany,Strawberry,Daily,Smoothie
816,37,Female,France,Apple,4-5 times a week,Fresh
817,54,Male,USA,Orange,Once a week,Juice
818,33,Female,Canada,Mango,Daily,Fresh
819,50,Male,UK,Strawberry,Once a week,Smoothie
820,28,Female,Australia,Apple,2-3 times a week,Fresh
821,19,Male,Germany,Banana,Once a week,Smoothie
822,39,Female,France,Orange,3-4 times a week,Juice
823,56,Male,USA,Mango,Daily,Fresh
824,22,Female,Canada,Strawberry,Once a week,Smoothie
825,48,Male,UK,Apple,4-5 times a week,Fresh
826,26,Female,Australia,Banana,Once a week,Smoothie
827,35,Male,Germany,Orange,3-4 times a week,Juice
828,51,Female,France,Mango,Daily,Fresh
829,18,Male,USA,Strawberry,Once a week,Smoothie
830,42,Female,Canada,Apple,4-5 times a week,Fresh
831,31,Male,UK,Banana,3-4 times a week,Smoothie
832,46,Female,Australia,Orange,Once a week,Juice
833,23,Male,Germany,Mango,2-3 times a week,Fresh
834,40,Female,France,Strawberry,Daily,Smoothie
835,53,Male,USA,Apple,Once a week,Fresh
836,27,Female,Canada,Banana,Once a week,Smoothie
837,36,Male,UK,Orange,4-5 times a week,Juice
838,49,Female,Australia,Mango,Once a week,Fresh
839,24,Male,Germany,Strawberry,Daily,Smoothie
840,37,Female,France,Apple,4-5 times a week,Fresh
841,54,Male,USA,Orange,Once a week,Juice
842,33,Female,Canada,Mango,Daily,Fresh
843,50,Male,UK,Strawberry,Once a week,Smoothie
844,28,Female,Australia,Apple,2-3 times a week,Fresh
845,19,Male,Germany,Banana,Once a week,Smoothie
846,39,Female,France,Orange,3-4 times a week,Juice
847,56,Male,USA,Mango,Daily,Fresh
848,22,Female,Canada,Strawberry,Once a week,Smoothie
849,48,Male,UK,Apple,4-5 times a week,Fresh
850,26,Female,Australia,Banana,Once a week,Smoothie
851,35,Male,Germany,Orange,3-4 times a week,Juice
852,51,Female,France,Mango,Daily,Fresh
853,18,Male,USA,Strawberry,Once a week,Smoothie
854,42,Female,Canada,Apple,4-5 times a week,Fresh
855,31,Male,UK,Banana,3-4 times a week,Smoothie
856,46,Female,Australia,Orange,Once a week,Juice
857,23,Male,Germany,Mango,2-3 times a week,Fresh
858,40,Female,France,Strawberry,Daily,Smoothie
859,53,Male,USA,Apple,Once a week,Fresh
860,27,Female,Canada,Banana,Once a week,Smoothie
861,36,Male,UK,Orange,4-5 times a week,Juice
862,49,Female,Australia,Mango,Once a week,Fresh
863,24,Male,Germany,Strawberry,Daily,Smoothie
864,37,Female,France,Apple,4-5 times a week,Fresh
865,54,Male,USA,Orange,Once a week,Juice
866,33,Female,Canada,Mango,Daily,Fresh
867,50,Male,UK,Strawberry,Once a week,Smoothie
868,28,Female,Australia,Apple,2-3 times a week,Fresh
869,19,Male,Germany,Banana,Once a week,Smoothie
870,39,Female,France,Orange,3-4 times a week,Juice
871,56,Male,USA,Mango,Daily,Fresh
872,22,Female,Canada,Strawberry,Once a week,Smoothie
873,48,Male,UK,Apple,4-5 times a week,Fresh
874,26,Female,Australia,Banana,Once a week,Smoothie
875,35,Male,Germany,Orange,3-4 times a week,Juice
876,51,Female,France,Mango,Daily,Fresh
877,18,Male,USA,Strawberry,Once a week,Smoothie
878,42,Female,Canada,Apple,4-5 times a week,Fresh
879,31,Male,UK,Banana,3-4 times a week,Smoothie
880,46,Female,Australia,Orange,Once a week,Juice
881,23,Male,Germany,Mango,2-3 times a week,Fresh
882,40,Female,France,Strawberry,Daily,Smoothie
883,53,Male,USA,Apple,Once a week,Fresh
884,27,Female,Canada,Banana,Once a week,Smoothie
885,36,Male,UK,Orange,4-5 times a week,Juice
886,49,Female,Australia,Mango,Once a week,Fresh
887,24,Male,Germany,Strawberry,Daily,Smoothie
888,37,Female,France,Apple,4-5 times a week,Fresh
889,54,Male,USA,Orange,Once a week,Juice
890,33,Female,Canada,Mango,Daily,Fresh
891,50,Male,UK,Strawberry,Once a week,Smoothie
892,28,Female,Australia,Apple,2-3 times a week,Fresh
893,19,Male,Germany,Banana,Once a week,Smoothie
894,39,Female,France,Orange,3-4 times a week,Juice
895,56,Male,USA,Mango,Daily,Fresh
896,22,Female,Canada,Strawberry,Once a week,Smoothie
897,48,Male,UK,Apple,4-5 times a week,Fresh
898,26,Female,Australia,Banana,Once a week,Smoothie
899,35,Male,Germany,Orange,3-4 times a week,Juice
900,51,Female,France,Mango,Daily,Fresh
901,18,Male,USA,Strawberry,Once a week,Smoothie
902,42,Female,Canada,Apple,4-5 times a week,Fresh
903,31,Male,UK,Banana,3-4 times a week,Smoothie
904,46,Female,Australia,Orange,Once a week,Juice
905,23,Male,Germany,Mango,2-3 times a week,Fresh
906,40,Female,France,Strawberry,Daily,Smoothie
907,53,Male,USA,Apple,Once a week,Fresh
908,27,Female,Canada,Banana,Once a week,Smoothie
909,36,Male,UK,Orange,4-5 times a week,Juice
910,49,Female,Australia,Mango,Once a week,Fresh
911,24,Male,Germany,Strawberry,Daily,Smoothie
912,37,Female,France,Apple,4-5 times a week,Fresh
913,54,Male,USA,Orange,Once a week,Juice
914,33,Female,Canada,Mango,Daily,Fresh
915,50,Male,UK,Strawberry,Once a week,Smoothie
916,28,Female,Australia,Apple,2-3 times a week,Fresh
917,19,Male,Germany,Banana,Once a week,Smoothie
918,39,Female,France,Orange,3-4 times a week,Juice
919,56,Male,USA,Mango,Daily,Fresh
920,22,Female,Canada,Strawberry,Once a week,Smoothie
921,48,Male,UK,Apple,4-5 times a week,Fresh
922,26,Female,Australia,Banana,Once a week,Smoothie
923,35,Male,Germany,Orange,3-4 times a week,Juice
924,51,Female,France,Mango,Daily,Fresh
925,18,Male,USA,Strawberry,Once a week,Smoothie
926,42,Female,Canada,Apple,4-5 times a week,Fresh
927,31,Male,UK,Banana,3-4 times a week,Smoothie
928,46,Female,Australia,Orange,Once a week,Juice
929,23,Male,Germany,Mango,2-3 times a week,Fresh
930,40,Female,France,Strawberry,Daily,Smoothie
931,53,Male,USA,Apple,Once a week,Fresh
932,27,Female,Canada,Banana,Once a week,Smoothie
933,36,Male,UK,Orange,4-5 times a week,Juice
934,49,Female,Australia,Mango,Once a week,Fresh
935,24,Male,Germany,Strawberry,Daily,Smoothie
936,37,Female,France,Apple,4-5 times a week,Fresh
937,54,Male,USA,Orange,Once a week,Juice
938,33,Female,Canada,Mango,Daily,Fresh
939,50,Male,UK,Strawberry,Once a week,Smoothie
940,28,Female,Australia,Apple,2-3 times a week,Fresh
941,19,Male,Germany,Banana,Once a week,Smoothie
942,39,Female,France,Orange,3-4 times a week,Juice
943,56,Male,USA,Mango,Daily,Fresh
944,22,Female,Canada,Strawberry,Once a week,Smoothie
945,48,Male,UK,Apple,4-5 times a week,Fresh
946,26,Female,Australia,Banana,Once a week,Smoothie
947,35,Male,Germany,Orange,3-4 times a week,Juice
948,51,Female,France,Mango,Daily,Fresh
949,18,Male,USA,Strawberry,Once a week,Smoothie
950,42,Female,Canada,Apple,4-5 times a week,Fresh
951,31,Male,UK,Banana,3-4 times a week,Smoothie
952,46,Female,Australia,Orange,Once a week,Juice
953,23,Male,Germany,Mango,2-3 times a week,Fresh
954,40,Female,France,Strawberry,Daily,Smoothie
955,53,Male,USA,Apple,Once a week,Fresh
956,27,Female,Canada,Banana,Once a week,Smoothie
957,36,Male,UK,Orange,4-5 times a week,Juice
958,49,Female,Australia,Mango,Once a week,Fresh
959,24,Male,Germany,Strawberry,Daily,Smoothie
960,37,Female,France,Apple,4-5 times a week,Fresh
961,54,Male,USA,Orange,Once a week,Juice
962,33,Female,Canada,Mango,Daily,Fresh
963,50,Male,UK,Strawberry,Once a week,Smoothie
964,28,Female,Australia,Apple,2-3 times a week,Fresh
965,19,Male,Germany,Banana,Once a week,Smoothie
